row_id,Species3,Family3,Order3,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size,Species.Status
4997,Eutrichomyias rowleyi,Monarchidae,Passeriformes,1,0,1,0,1,16.7,9.1,5.3,5.2,21.6,95.5,18.3,77.2,19.2,91.7,19,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,3.49,3.54,3.52,125.5498763,14.9,Extant
5010,Monarcha boanensis,Monarchidae,Passeriformes,1,0,1,0,0,18,9.1,5.9,4.5,23.8,81,12,69,14.8,69,17.5,Dunning,NA,YES,Beak Nares,Monarcha trivirgatus,Forest,1,1,Carnivore,Invertivore,Insessorial,-3.02,-2.98,-3,127.9021318,13.87,Extant
5011,Monarcha brehmii,Monarchidae,Passeriformes,1,1,0,0,0,17.9,11.5,5.9,4.4,19.5,75,8,67,10.7,66,41,EltonTraits_Model,NA,YES,Beak Nares,Monarcha julianae,Forest,1,1,Carnivore,Invertivore,Insessorial,-1.22,-0.63,-0.94,135.8921529,2524.27,Extant
5014,Monarcha castus,Monarchidae,Passeriformes,1,0,1,0,1,15.7,9.1,3.6,4.5,19.3,66,12,54,18.2,61,14,Inferred,NA,YES,Body Mass,Monarcha pileatus,NA,1,1,Carnivore,Invertivore,Insessorial,-8.35,-7.1,-7.62,131.3956956,3794.53,Extant
5018,Monarcha everetti,Monarchidae,Passeriformes,2,0,2,0,2,15.4,8.9,4.7,4,18.6,68.8,9.3,59.5,13.5,73,16.4,Inferred,NA,YES,Body Mass,Monarcha guttula,Forest,2,1,Carnivore,Invertivore,Insessorial,-7.15,-7.01,-7.09,120.6790255,170.57,Extant
5020,Monarcha godeffroyi,Monarchidae,Passeriformes,1,0,1,0,1,20.3,12.4,5.3,4.4,22.3,87,15.2,71.8,17.5,78,16.4,Inferred,NA,YES,Body Mass,Monarcha guttula,Forest,2,1,Carnivore,Invertivore,Insessorial,9.44,9.64,9.54,138.1245077,97.97,Extant
5023,Monarcha julianae,Monarchidae,Passeriformes,1,0,1,0,1,17.1,11.5,5.6,5.1,18.5,82.6,14.5,68.1,17.6,71.7,16.4,Inferred,NA,YES,Body Mass,Monarcha guttula,Forest,1,1,Carnivore,Invertivore,Insessorial,-1.26,-1.15,-1.2,129.8452799,143.74,Extant
5034,Monarcha sacerdotum,Monarchidae,Passeriformes,1,0,1,0,0,15.9,13.6,5.9,4.3,19.6,72,11,61,15.3,70,37,EltonTraits_Model,NA,YES,Beak Nares,Monarcha mundus,Forest,1,1,Carnivore,Invertivore,Insessorial,-8.83,-8.41,-8.65,119.9838284,696.22,Extant
5065,Terpsiphone bourbonnensis,Monarchidae,Passeriformes,2,0,1,1,1,15.9,8,5.2,4,20.4,70,14,56,20,71,10.79,Dunning,NA,NO,NA,NA,Forest,2,1,Carnivore,Invertivore,Insessorial,-21.37,-20,-20.94,55.98919799,3297.84,Extant
5084,Anthus chacoensis,Motacillidae,Passeriformes,1,0,1,0,1,13.5,7.8,2.8,3,17,64.5,15.4,49.1,23.9,48,21.83,EltonTraits_Model,NA,NO,NA,NA,Grassland,3,1,Carnivore,Invertivore,Terrestrial,-38.45,-22.22,-31.64,-60.46393353,621127.8,Extant
5097,Anthus longicaudatus,Motacillidae,Passeriformes,0,0,0,0,0,17,10.2,3.7,4,28.8,103,24.8,77,24.4,79.2,32.2,Dunning,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Anthus vaalensis,NA,3,NA,NA,NA,Terrestrial,NA,NA,NA,NA,NA,Invalid
5160,Copsychus cebuensis,Muscicapidae,Passeriformes,2,1,1,0,2,17.8,11.6,4,5.1,25.5,88.3,13.4,74.9,15.1,88.2,28.5,Inferred,NA,YES,Body Mass,Copsychus niger,Forest,1,1,Carnivore,Invertivore,Generalist,9.41,11.28,10.31,123.7182747,4442.73,Extant
5173,Cossypha heinrichi,Muscicapidae,Passeriformes,1,0,1,0,1,22.5,13.4,5.1,5.7,34,114,17.3,96.7,15.2,141,60.33,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,-8.95,-3.9,-4.39,15.99239729,6203.48,Extant
5189,Cyornis herioti,Muscicapidae,Passeriformes,2,1,1,0,2,15.7,10.2,5.2,4.8,19,75,12.8,62.2,17.1,59.8,19.62,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,12.54,18.62,16.09,121.4255788,67081.04,Extant
5193,Cyornis magnirostris,Muscicapidae,Passeriformes,2,1,1,0,2,14.4,9.8,5.2,4.3,19.1,78,20,58,25.7,64.5,14.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,26.68,29.15,27.64,93.29411887,113575.17,Extant
5200,Cyornis sanfordi,Muscicapidae,Passeriformes,2,0,2,0,2,16.7,9.9,5.3,4.2,17.5,83.2,14.9,68.4,17.9,65.2,20.5,Inferred,NA,YES,Body Mass,Niltava sumatrana,Forest,1,1,Carnivore,Invertivore,Insessorial,0.08,1.5,0.68,123.7722833,2049.13,Extant
5235,Ficedula basilanica,Muscicapidae,Passeriformes,2,1,1,0,2,13.1,8.1,3.8,3.6,19.5,62,8.1,53.9,13.1,38,13.54,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Generalist,5.56,12.59,8.33,124.8303593,116046.89,Extant
5236,Ficedula bonthaina,Muscicapidae,Passeriformes,2,0,2,0,2,10.6,7.6,3.5,3.4,19.6,59.2,12,47.2,20.4,42.5,12.06,Inferred,NA,YES,Body Mass,Ficedula platenae,Forest,1,1,Carnivore,Invertivore,Insessorial,-5.46,-4.99,-5.26,119.917819,819.18,Extant
5238,Ficedula crypta,Muscicapidae,Passeriformes,2,1,1,0,2,13,8,3.8,3.5,16.8,60,9.6,50.4,16.2,41,11.5,Dunning,NA,NO,NA,NA,Forest,1,1,Carnivore,Invertivore,Insessorial,5.75,9.49,7.58,125.0471477,20661.05,Extant
5239,Ficedula disposita,Muscicapidae,Passeriformes,1,1,0,0,1,11.9,7,3.5,3.2,17.3,54.5,7.6,46.9,13.9,41.5,12.06,Inferred,NA,YES,Body Mass,Ficedula platenae,Forest,1,1,Carnivore,Invertivore,Insessorial,14.38,17.72,15.59,121.0936009,12034.25,Extant
5241,Ficedula harterti,Muscicapidae,Passeriformes,1,0,1,0,1,15.4,8.9,4.1,3.7,20.9,66,12.4,53.6,18.8,49,12.06,Inferred,NA,YES,Body Mass,Ficedula platenae,Forest,1,1,Carnivore,Invertivore,Insessorial,-10.32,-9.28,-9.76,119.9536297,10702.41,Extant
5242,Ficedula henrici,Muscicapidae,Passeriformes,2,0,2,0,2,13.6,7.4,3.8,3.3,20.9,64,12.4,51.7,19.3,48,14.5,Inferred,NA,YES,Body Mass,Ficedula buruensis,Forest,1,1,Carnivore,Invertivore,Insessorial,-7.22,-7.07,-7.14,128.6099382,196.38,Extant
5277,Luscinia ruficeps,Muscicapidae,Passeriformes,1,0,1,0,1,13.8,7.5,3.2,3.8,26.8,77,18.6,58.4,24.2,53,18,Dunning,NA,NO,NA,NA,Forest,2,3,Carnivore,Invertivore,Terrestrial,32.45,34.81,33.71,105.336283,46541.6,Extant
